,2,3,24,25
0,48,51,97,51
1,51,56,52,51
2,102,102,48,49
3,97,51,54,48
4,102,102,48,49
5,48,51,54,49
6,48,51,100,49
7,102,102,48,49
8,99,52,57,102
9,48,48,100,100
10,48,51,100,48
11,48,48,100,100
12,48,48,100,100
13,48,48,100,100
14,54,52,52,52
15,48,48,100,100
16,48,48,100,100
17,52,53,55,51
18,52,53,55,51
19,102,102,48,49
20,48,48,100,100
21,49,54,99,54
22,48,51,56,100
23,52,53,50,100
24,53,53,54,100
25,99,101,51,99
26,102,102,48,49
27,102,102,48,49
28,102,102,48,49
29,48,48,100,100
30,53,53,54,100
31,48,56,100,100
32,56,55,48,52
33,102,102,48,49
34,48,48,100,100
35,48,51,50,102
36,50,50,52,57
37,102,102,48,49
38,102,102,48,49
39,50,102,51,102
40,102,102,48,49
41,102,102,48,49
42,51,98,97,98
43,102,102,48,49
44,48,48,100,100
45,48,57,57,102
46,48,56,100,100
47,102,102,48,49
48,48,48,100,100
49,48,48,100,100
50,57,56,53,100
51,51,48,98,52
52,102,102,48,49
53,102,102,48,49
54,48,49,100,100
55,48,48,100,100
56,102,102,48,49
57,102,102,48,49
58,48,48,100,100
59,102,102,48,49
60,48,48,100,100
61,48,48,100,100
62,51,52,48,48
63,102,102,48,49
64,55,100,54,102
65,102,102,48,49
66,48,48,100,100
67,102,53,100,51
68,48,51,49,102
69,99,54,57,53
70,48,48,100,100
71,102,102,48,49
72,48,51,97,54
73,48,51,98,101
74,102,102,48,49
75,102,102,48,49
76,48,48,100,100
77,52,53,54,100
78,50,100,53,52
79,102,102,48,49
80,102,102,48,49
81,51,57,51,101
82,102,102,48,49
83,48,56,100,100
84,102,102,48,49
85,56,97,55,57
86,48,48,100,100
87,48,51,98,99
88,48,51,48,50
89,50,50,100,99
90,102,102,48,49
91,48,48,100,100
92,51,52,48,48
93,48,48,100,100
94,50,102,51,97
95,48,49,100,100
96,102,102,48,49
97,102,102,48,49
98,55,51,56,100
99,48,57,100,100
100,48,48,100,100
101,48,56,100,100
102,102,55,101,54
103,48,48,100,100
104,48,48,100,100
105,48,51,49,49
106,48,48,100,100
107,51,52,48,48
108,48,48,100,100
109,48,48,100,100
110,102,102,48,49
111,102,102,48,49
112,52,53,55,51
113,48,57,100,100
114,48,51,99,52
115,52,53,55,51
116,48,48,100,100
117,102,54,52,97
118,48,48,100,100
119,101,48,48,50
120,48,54,56,97
121,48,57,100,100
122,48,48,100,100
123,98,50,101,51
124,50,50,52,57
125,102,102,48,49
126,48,48,100,100
127,48,49,100,100
128,48,51,48,55
129,48,48,100,100
130,48,48,100,100
131,48,48,100,100
132,53,53,54,100
133,53,53,54,100
134,102,102,48,49
135,102,102,48,49
136,48,48,100,100
137,48,51,50,102
138,48,49,100,100
139,102,102,48,49
140,48,51,57,98
141,49,97,100,101
142,48,48,100,100
143,48,48,100,100
144,98,101,100,101
145,102,102,48,49
146,48,51,51,55
147,51,52,48,48
148,48,51,49,52
149,48,48,100,100
150,48,51,101,101
151,48,48,100,100
