Method,Dataset,ari,nmi,F1-score,Precision,Recall,Accuracy
K-Means,og,0.2009130015031033,0.3592565800330554,0.0080277065983344,0.125,0.0041470174567717,0.8118639861007694
K-Means,pca,0.1866474995105312,0.2668175574039828,0.0815635451505016,0.125,0.0605299081657979,0.7772400099280219
K-Means,pearson,0.1717858760497317,0.2416551911212111,0.0,0.0,0.0,0.7527302060064532
K-Means,lda,0.951701186660845,0.915771381505302,0.3292094925094025,0.3332344507070108,0.3252806045062188,0.9877761231074708
K-Means,pearson-pca,0.3260015016027888,0.3320342505693266,0.0927655851370655,0.1344834940340558,0.0708021605266579,0.8651857367419542
K-Means,pearson-lda,0.6073781316242645,0.5529866929298738,0.0617597292724196,0.056960845969301,0.0674416039270841,0.889674857284686
DBSCAN,og,0.4526281887245004,0.3819834763809259,0.0022035999530744,0.002195726074484,0.0022115305063927,0.9460991147513858
DBSCAN,pca,0.1778057233724962,0.2983680262306031,0.0542949000118483,0.0718826504339794,0.0631256722098121,0.7474973111607512
DBSCAN,pearson,0.3263626874833203,0.3493735137077996,0.0013155789908379,0.0165566366485021,0.0009264840488469,0.9714569372052618
DBSCAN,lda,0.0,0.0,0.0,0.0,0.0,0.5
DBSCAN,pearson-pca,0.1695681194955217,0.2613792270763067,0.0614996265163585,0.0623239831477817,0.0717299578059071,0.740692479523455
DBSCAN,pearson-lda,0.0,4.135283120103051e-05,0.0,0.0,0.0,0.5000206833788368
OPTICS,og,0.2216740585870033,0.1724304290077129,0.0001065735666635,9.400092411565591e-05,0.0001230286770122,0.835050053776785
OPTICS,pca,0.1882798966928694,0.1827561599894467,0.0005209544427344,0.0021830441453233,0.0005993187322943,0.8214610738810292
OPTICS,pearson,0.2967010097731422,0.3048455823512171,0.0001896485883749,0.003764357406184,0.0001720916004283,0.9705882352941176
OPTICS,lda,0.0048101906387853,0.1519097240840054,0.0001556668206838,0.0007561850007284,0.0001175951047954,0.8822908910399603
OPTICS,pearson-pca,0.2856942294899214,0.3005978349944698,0.0001212047694237,0.003144809339802,0.0001066564595438,0.9762761644742284
OPTICS,pearson-lda,0.0522005083120649,0.2052636715235877,2.9319515298715907e-05,0.0010187319902462,1.820609201791448e-05,0.9743526102424092
BIRCH,og,0.2345561764532809,0.3324447996886063,0.2175278226780372,0.3333333333333333,0.1614406662805769,0.7421609994208654
BIRCH,pca,0.0097836592282499,0.0281714192632747,0.0825850716028917,0.2500348529206748,0.0494608532583216,0.5494746421775462
BIRCH,pearson,0.1235907654065992,0.1216736278728504,0.1967641600669123,0.2672346467873625,0.1557044758831803,0.6757880367336808
BIRCH,lda,0.9546898930909624,0.9199200018861045,0.0074592265313914,0.0073777346173558,0.0075425388158076,0.9885414081244313
BIRCH,pearson-pca,0.0781332058312828,0.0589386329999053,0.203761568907538,0.2212635320730328,0.1888254598604561,0.6397782741788699
BIRCH,pearson-lda,0.6901013170792406,0.5817728752686111,0.0271863196779147,0.0272780276528402,0.0270952262761644,0.9153636137999503
